final_rank,score,raw_score,상품코드,상품명,인물,출판사,중복횟수,순위,출처파일
1,2.6299250563310483,13.665491452991454,9791141602451,절창,구병모,문학동네,27,20,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (22).xlsx
2,2.540149684339829,15.45112732125116,9788925588735,프로젝트 헤일메리,앤디 위어,알에이치코리아,37,2,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
3,2.249527715509208,11.688888888888886,9791194530701,괴테는 모든 것을 말했다,스즈키 유이,리프,27,9,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
4,2.1578856010048,14.950269991446461,9788936439743,혼모노,성해나,창비,48,17,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
5,2.1252110624248,14.256349206349206,9791199305304,자몽살구클럽,한로로,어센틱,45,7,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
6,1.9293121495419996,13.366666666666667,9788998441012,모순,양귀자,쓰다,48,5,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
7,1.8050716804958553,8.2718776106934,9791170612759,가공범,히가시노 게이고,북다,21,19,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (38).xlsx
8,1.4684060076042238,10.066884401288426,9791141602376,안녕이라 그랬어(집에디션 리커버),김애란,문학동네,47,4,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
9,1.3650466624880038,9.054695201599227,9788937460586,싯다르타,헤르만 헤세,민음사,44,1,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
10,1.0346560846560846,3.103968253968254,9791159921445,사탄탱고,크러스너호르커이 라슬로,알마,9,15,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (38).xlsx
11,0.8754000841247566,3.9149081912239807,9791124038192,나의 완벽한 장례식,조현선,북로망스,20,19,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (18).xlsx
12,0.8689012605199126,6.01992451992452,9788937473401,급류,정대건,민음사,48,12,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
13,0.7458333333333333,1.4916666666666667,9791124038499,리치먼드힐의 이층 버스,이경진,북플레저,4,8,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
14,0.7120516149193351,4.77658744334441,9788936434120,소년이 온다,한강,창비,45,15,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (17).xlsx
15,0.583889988754651,1.9365440115440113,9791141603250,제17회 젊은작가상 수상작품집(2026),김채원 외,문학동네,11,20,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (16).xlsx
16,0.5619802568407478,1.589520202020202,9791197221989,"첫 여름, 완주",김금희,무제(MUZE),8,16,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (54).xlsx
17,0.4939627583751069,1.2099567099567097,9791198547514,수족관,유래혁,포스터샵,6,3,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
18,0.47697503047348244,2.384875152367412,9788925554990,스토너,존 윌리엄스,알에이치코리아,25,17,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (36).xlsx
19,0.45694279660970244,2.6644114657272553,9788937461798,브람스를 좋아하세요,프랑수아즈 사강,민음사,34,11,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
20,0.41546834630314844,2.3866839429919926,9788998441074,나는 소망한다 내게 금지된 것을,양귀자,쓰다,33,19,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (29).xlsx
