순위,상품코드,판매상품 ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야,출처파일,중복횟수
12,9788937473401,S000200550189,급류,"14,000","12,600",10%,5%,700,정대건,민음사,20221222,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,48
5,9788998441012,S000001632467,모순,"13,000","11,700",10%,5%,650,양귀자,쓰다,20130401,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,48
17,9788936439743,S000216111714,혼모노,"18,000","16,200",10%,5%,900,성해나,창비,20250328,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,48
4,9791141602376,S000216796615,안녕이라 그랬어(집에디션 리커버),"16,800","15,120",10%,5%,840,김애란,문학동네,20250620,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,47
15,9788936434120,S000000610612,소년이 온다,"15,000","13,500",10%,5%,750,한강,창비,20140519,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (17).xlsx,45
7,9791199305304,S000217089705,자몽살구클럽,"12,000","10,800",10%,5%,600,한로로,어센틱,20250725,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,45
1,9788937460586,S000000620195,싯다르타,"8,000","7,200",10%,5%,400,헤르만 헤세,민음사,20020120,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,44
14,9788937460449,S000000620181,데미안,"8,000","7,200",10%,5%,400,헤르만 헤세,민음사,20090120,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,37
2,9788925588735,S000000479333,프로젝트 헤일메리,"22,000","19,800",10%,5%,"1,100",앤디 위어,알에이치코리아,20260219,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,37
11,9788937461798,S000000620316,브람스를 좋아하세요,"10,000","9,000",10%,5%,500,프랑수아즈 사강,민음사,20080502,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,34
19,9788998441074,S000001632473,나는 소망한다 내게 금지된 것을,"15,000","13,500",10%,5%,750,양귀자,쓰다,20190420,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (29).xlsx,33
9,9791194530701,S000218438100,괴테는 모든 것을 말했다,"17,000","15,300",10%,5%,850,스즈키 유이,리프,20251118,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,27
20,9791141602451,S000217503188,절창,"18,000","16,200",10%,5%,900,구병모,문학동네,20250917,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (22).xlsx,27
17,9788925554990,S000000478177,스토너,"16,800","15,120",10%,5%,840,존 윌리엄스,알에이치코리아,20150102,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (36).xlsx,25
16,9788936434595,S000000610650,채식주의자,"17,000","15,300",10%,5%,850,한강,창비,20220328,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (38).xlsx,24
19,9791170612759,S000217048850,가공범,"22,000","19,800",10%,5%,"1,100",히가시노 게이고,북다,20250721,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (38).xlsx,21
19,9791124038192,S000218969272,나의 완벽한 장례식,"19,000","17,100",10%,5%,950,조현선,북로망스,20260121,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (18).xlsx,20
20,9791167372864,S000201621499,구의 증명(리커버판),"12,000","10,800",10%,5%,600,최진영,은행나무,20230426,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (17).xlsx,16
16,9788954682152,S000000781116,작별하지 않는다,"16,800","15,120",10%,5%,840,한강,문학동네,20210909,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (23).xlsx,16
19,9788954681155,S000000781065,홍학의 자리,"14,000","12,600",10%,5%,700,정해연,엘릭시르,20210726,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (19).xlsx,15
16,9791194413394,S000216819592,궤도,"17,000","15,300",10%,5%,850,서맨사 하비,서해문집,20250620,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (48).xlsx,13
18,9791171715503,S000218606713,죽은 왕녀를 위한 파반느(양장 특별판),"20,000","18,000",10%,5%,"1,000",박민규,위즈덤하우스,20251119,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (25).xlsx,13
20,9788937443848,S000000619973,이방인,"10,000","9,000",10%,5%,500,알베르 카뮈,민음사,20190902,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (15).xlsx,12
12,9791124038338,S000219513807,바다에서 온 소년,"19,800","17,820",10%,5%,990,개럿 카,북파머스,20260401,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (16).xlsx,11
19,9788937461033,S000000620240,인간 실격,"9,000","8,100",10%,5%,450,다자이 오사무,민음사,20120410,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (17).xlsx,11
20,9791141603250,S000219615731,제17회 젊은작가상 수상작품집(2026),"7,700","6,930",10%,5%,380,김채원 외,문학동네,20260331,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (16).xlsx,11
13,9791193078709,S000218147274,아무도 오지 않는 곳에서,"17,000","15,300",10%,5%,850,천선란,허블,20251027,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (38).xlsx,10
22,9791194654063,S000216172302,긴키 지방의 어느 장소에 대하여,"16,800","15,120",10%,5%,840,세스지 외,반타,20250410,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (44).xlsx,9
19,9791167376275,S000219138574,내 심장을 쏴라,"18,000","16,200",10%,5%,900,정유정,은행나무,20260206,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (27).xlsx,9
15,9791159921445,S000001786573,사탄탱고,"19,800","17,820",10%,5%,990,크러스너호르커이 라슬로,알마,20180509,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (38).xlsx,9
19,9791167764119,S000219244028,세종의 나라 1,"22,000","19,800",10%,5%,"1,100",김진명,이타북스,20260224,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (24).xlsx,9
20,9791168343108,S000217345795,양면의 조개껍데기(리커버 특별판),"17,500","15,750",10%,5%,870,김초엽,래빗홀,20250827,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (45).xlsx,9
20,9791191043297,S000001947482,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","14,000","12,600",10%,5%,700,이치조 미사키,모모,20210628,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (29).xlsx,9
20,9791193937822,S000217205635,월요일 수요일 토요일,"19,500","17,550",10%,5%,970,페트라 펠리니,북파머스,20250813,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (44).xlsx,9
20,9788937460708,S000000620207,체호프 단편선,"9,000","8,100",10%,5%,450,안톤 체호프,민음사,20021120,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,9
16,9788925588711,S000000479331,아르테미스(스페셜 에디션),"19,800","17,820",10%,5%,990,앤디 위어,알에이치코리아,20210504,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (21).xlsx,8
17,9791194930136,S000216806926,장미와 나이프,"18,000","16,200",10%,5%,900,히가시노 게이고,반타,20250616,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (54).xlsx,8
16,9791197221989,S000216344843,"첫 여름, 완주","17,000","15,300",10%,5%,850,김금희,무제(MUZE),20250508,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (54).xlsx,8
15,9788932925349,S000217277792,키메라의 땅 1,"17,800","16,020",10%,5%,890,베르나르 베르베르,열린책들,20250820,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (48).xlsx,7
19,9788925588650,S000000479326,마션(스페셜 에디션),"19,800","17,820",10%,5%,990,앤디 위어,알에이치코리아,20210504,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (23).xlsx,6
3,9791198547514,S000211748790,수족관,"17,700","15,930",10%,5%,880,유래혁,포스터샵,20240111,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,6
20,9791141602567,S000217184482,치즈 이야기,"17,000","15,300",10%,5%,850,조예은,문학동네,20250730,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (51).xlsx,6
20,9791130681009,S000219024909,떠난 것은 돌아오지 않는다,"18,000","16,200",10%,5%,900,줄리언 반스,다산책방,20260122,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (33).xlsx,5
20,9791171713929,S000216885391,여름은 고작 계절,"17,500","15,750",10%,5%,870,김서해,위즈덤하우스,20251127,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (56).xlsx,5
18,9788936439880,S000218749513,할매,"16,800","15,120",10%,5%,840,황석영,창비,20251212,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (34).xlsx,5
17,9791175910683,S000219790106,나의 사탄,"13,000","11,700",10%,5%,650,백은별,위즈덤하우스,20260429,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (20).xlsx,4
16,9791193904213,S000216466448,내게 남은 스물다섯 번의 계절,"16,800","15,120",10%,5%,840,슈테판 셰퍼,서삼독,20250516,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (58).xlsx,4
17,9791130674643,S000219084393,눈과 돌멩이(제49회 이상문학상 작품집 2026년),"18,000","16,200",10%,5%,900,위수정 외,다산책방,20260123,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (33).xlsx,4
8,9791124038499,S000220097124,리치먼드힐의 이층 버스,"19,000","17,100",10%,5%,950,이경진,북플레저,20260610,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,4
14,9791170526643,S000218471280,어스탐 경의 임사전언,"20,000","18,000",10%,5%,"1,000",이영도,황금가지,20251107,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (39).xlsx,4
16,9791194531395,S000219973662,우리동네 도서관,"18,000","16,200",10%,5%,900,차인표,사유와공감,20260527,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (17).xlsx,4
19,9791193078563,S000216717476,토막 난 우주를 안고서,"17,000","15,300",10%,5%,850,김초엽 외,허블,20250618,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (58).xlsx,4
19,9788960909878,S000219752482,해파리 만개,"16,800","15,120",10%,5%,840,김초엽,마음산책,20260430,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (21).xlsx,4
14,9788901296906,S000217222979,그 많던 싱아는 누가 다 먹었을까(박완서 X 이옥토 리커버 특별판),"18,500","16,650",10%,5%,920,박완서,웅진지식하우스,20250818,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (53).xlsx,3
19,9791130664903,S000216966854,너무 늦은 시간,"16,800","15,120",10%,5%,840,클레어 키건,다산책방,20250703,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (59).xlsx,3
17,9791173830235,S000218565637,비밀 속의 비밀 1,"16,800","15,120",10%,5%,840,댄 브라운,문학수첩,20251127,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (38).xlsx,3
20,9788932044057,S000216804229,소설 보다: 여름 2025,"5,500","4,950",10%,5%,270,김지연 외,문학과지성사,20250610,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (59).xlsx,3
10,9791175773370,S000220296661,신 퇴마록 신세편 1,"22,000","19,800",10%,5%,"1,100",이우혁,반타,20260623,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,3
13,9791172134297,S000220271017,인비인,"18,000","16,200",10%,5%,900,성해나,한겨레출판,20260619,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,3
18,9791141615055,S000218961437,쥬디 할머니,"18,500","16,650",10%,5%,920,박완서,문학동네,20260120,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (32).xlsx,3
16,9791167903662,S000220341532,매스커레이드 라이프,"20,000","18,000",10%,5%,"1,000",히가시노 게이고,현대문학,20260701,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,2
19,9791141617226,S000220215920,시간의 감촉,"18,800","16,920",10%,5%,940,은희경,문학동네,20260622,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,2
18,9788936439965,S000220225908,아코디언,"18,000","16,200",10%,5%,900,천명관,창비,20260622,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (15).xlsx,2
6,9788932925783,S000220240694,영혼의 왈츠 1,"18,000","16,200",10%,5%,900,베르나르 베르베르,열린책들,20260624,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,2
18,9788937463952,S000000620532,월든,"14,000","12,600",10%,5%,700,헨리 데이비드 소로,민음사,20211112,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (56).xlsx,2
17,9791193904565,S000217566797,일곱 번째는 내가 아니다,"18,000","16,200",10%,5%,900,폴 클리브,서삼독,20250917,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (48).xlsx,2
19,9791159922527,S000001786599,저항의 멜랑콜리,"22,000","19,800",10%,5%,"1,100",크러스너호르커이 라슬로,알마,20190513,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (45).xlsx,2
19,9791194996057,S000218502148,30/3 김영하 30주년 기념 도서 세트,"60,000","54,000",10%,5%,"3,000",김영하,복복서가,20251124,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (41).xlsx,1
18,9791130676029,S000219752390,김약국의 딸들(한국문학의 거장 박경리 탄생 100주년 기념 특별판),"22,000","19,800",10%,5%,"1,100",박경리,다산책방,20260519,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (21).xlsx,1
18,9791124575178,S000220307596,달러구트 꿈 백화점 0,"17,800","16,020",10%,5%,890,이미예,팩토리나인,20260701,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx,1
10,9791173573910,S000217127068,돌비공포라디오 더 레드,"19,800","17,820",10%,5%,990,돌비,아르테(arte),20250723,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (57).xlsx,1
12,9788937446238,S000218622923,디 에센셜: 제인 오스틴(교보문고 특별판),"20,000","18,000",10%,5%,"1,000",제인 오스틴,민음사,20251114,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (41).xlsx,1
15,9791173323188,S000217429170,멜론은 어쩌다,"17,800","16,020",10%,5%,890,아밀,비채,20250911,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (44).xlsx,1
16,9791169085366,S000218197806,빛의 조각들,"17,000","15,300",10%,5%,850,연여름,오리지널스,20251107,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (43).xlsx,1
9,9791167376442,S000219568692,여러 개의 북을 두드리며,"19,800","17,820",10%,5%,990,올가 토카르추크,은행나무,20260430,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (24).xlsx,1
19,9791194368427,S000217376089,연희동 러너,"19,800","17,820",10%,5%,990,임지형,상상스퀘어,20250903,소설,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (52).xlsx,1
